project_name	Vul_leb	Syr_ref_WW	Pal_ref	Detainees	benef_nbr_tot	cost	Sector	act_type	act_type_detail	ICRC_AoO	district	town	geo_location
Cash for Work in Bedawi Camp			70		70		Economic Assistance	Cash Assistance	Cash for Work	North Lebanon	El Minieh-Dennie	beddawi camp	34.444184, 35.866843,1
Cash for Work in Middle Dreib	200	201			401		Economic Assistance	Cash Assistance	Cash for Work	North Lebanon	Akkar	Dreib	34.605732, 36.137685,1
Unconditional Cash Grants	912				912		Economic Assistance	Cash Assistance	Cash Transfer Program	Bekaa			34.165341, 36.263613,1
Winter Assistance	3605				3605		Economic Assistance	Cash Assistance	Cash for Winter Needs	Bekaa			34.082403, 36.314267,1
Cash for Work in Tripoli	3361				3361		Economic Assistance	Cash Assistance	Cash for Work	North Lebanon	Tebenne		34.444867, 35.855239,1
Kitchen Project in Tripoli	1252				1252		Economic Assistance	Food Assistance		North Lebanon	Tebenne		34.446116, 35.855051,1
Winter Assistance		1740			1740		Economic Assistance	Cash Assistance	Cash for Winter Needs	Lebanon			0,0,0
Unconditional Cash Grants		1000			1000		Economic Assistance	Cash Assistance	Cash Transfer Program	Lebanon			0,0,0
Winter Assistance		596	7400		7996		Economic Assistance	Cash Assistance	Cash for Winter Needs	Bekaa			33.998391, 36.122526,1
Livelihood Project	805		240		1045		Economic Assistance	Livelihood Support		Bekaa	baalbek	Ras Baalbek	34.260828, 36.416762,1
Food Assistance	6190	15667	1736		23593		Economic Assistance	Food Assistance	Food parcels	Lebanon			0,0,0
Emergency Distribution	6410	12666	2168		21244		Economic Assistance	Essential Household Items	HH items	Lebanon			0,0,0
Tripoli Central Prison Ventilation Improvement Project				975	975		Wathab	Wathab in Detention	Safe drinking water supply	North Lebanon	Tripoli	Tripoli Prison	34.437361, 35.850097,1
Baalbek District Prison				135	135		Wathab	Wathab in Detention	Building rehabilitation & construction	Bekaa	baalbek	Baalbek District prison	34.012420, 36.217743,1
General Security Retention Centre				400	400		Wathab	Wathab in Detention	Sanitation & environmental health	Beirut	Beirut	Beirut GenSec Retention Center 	33.8861797,35.5046127,1
Halba District Prison				87	87		Wathab	Wathab in Detention	Building rehabilitation & construction	North Lebanon	Akkar	Halba District prison	34.5424938,36.0778167,1
Roumieh Central Prison				3200	3200		Wathab	Wathab in Detention	Safe drinking water supply	Beirut	El Metn	Roumieh Central Prison	33.8851877,35.5902673,1
Zahle Central Prison				651	651		Wathab	Wathab in Detention	Building rehabilitation & construction	Bekaa	Zahle	Zahle Prison	33.8461037,35.9021283,1
Provision of Heating System to Chebaa Clinic		1			1		Wathab	Infrastructures in ICRC supported or HCiD affected health facilities	Energy supply	South Lebanon	hasbaya	Chebaa Al Rhama Clinic 	33.3486704,35.7520799,1
Ras Al Ain pumping station rehabilitation 	14820	4180			19000		Wathab	Municipal services	Safe drinking water supply	South Lebanon	Sour	Ras al Ain pumping station	33.2277465,35.2234002,1
Water Supply Increase in Aarsal	3900	1100			5000		Wathab	Municipal services	Safe drinking water supply	Bekaa	baalbek	Aarsal Municipality	34.1796075,36.4201739,1
Aarsal Medical Centre 3M Installation		10			10		Wathab	Infrastructures in ICRC supported or HCiD affected health facilities	Building rehabilitation & construction	Bekaa	baalbek	Aarsal Medical Center Hospital	34.1803114,36.4178034,1
Chamsine Pumping Station	23400	6600			30000		Wathab	Municipal services	Safe drinking water supply	Bekaa	Zahle	Chamsine Chamsine station	33.7417632,35.9561248,1
Khiara Water supply support	1560	440			2000		Wathab	Municipal services	Safe drinking water supply	Bekaa	West Bekaa	Khiara Municipality 	33.685335,35.8287025,1
Heating system Rehab Ablah Hospital	16				16		Wathab	Infrastructures in ICRC supported or HCiD affected health facilities	Building rehabilitation & construction	Bekaa	Zahle	Ablah LAF military Hospital	33.8681111,35.9588534,1
Construction of Reservoir in Maaser	1500				1500		Wathab	Municipal services	Safe drinking water supply	Bekaa	El Hermel	Maasser	34.2693707,36.2800155,1
Maqne Water supply 	550				550		Wathab	Municipal services	Safe drinking water supply	Bekaa	baalbek	Maqne Village	34.0788884,36.2059743,1
Qaa Well Rehabilitation	13260	3740			17000		Wathab	Municipal services	Safe drinking water supply	Bekaa	baalbek	Al Qaa village	34.3422334,36.4785211,1
QRCS support to sewage systems		21654			21654		Wathab	Support to Informal Settlements and Hosting Communities	Sanitation & environmental health	Bekaa	baalbek	Aarsal Municipality	34.1796075,36.4201739,1
Lebanese Returnees Assistance		500			500		Wathab	Support to Informal Settlements and Hosting Communities	Safe drinking water supply	Bekaa	baalbek	Ras Baalbeck Town	34.260828, 36.416762,1
Support to FRC		3190			3190		Wathab	Support to Informal Settlements and Hosting Communities	Transitional human settlements	Bekaa			0,0,0
