project_name	Vul_leb	Syr_ref_WW	Pal_ref	Detainees	benef_nbr_tot	cost	Sector	act_type	act_type_detail	ICRC_AoO	district	town	geo_location	description
Cash for Work in Bedawi Camp	0	0	70	0	70		Economic Assistance	Cash Assistance	Cash for Work	North Lebanon	El Minieh-Dennie	beddawi camp	"34.444184, 35.866843,1"	PRS and PRL earned an income for 05 weeks from a CFW project in Bedawi camp in collaboration with a Lebanese NGO
Cash for Work in Middle Dreib	200	201	0	0	401		Economic Assistance	Cash Assistance	Cash for Work	North Lebanon	Akkar	Dreib	"34.605732, 36.137685,1"	Vulnerable residents and SR earned an income for 02 weeks from a CFW project in the Middle Dreib area in Akkar in collaboration with the Union of Municipalities. The work was carried out in close collaboration with LRC.
Cash for Work in Tripoli	3361	0	0	0	3361		Economic Assistance	Cash Assistance	Cash for Work	North Lebanon	Tebenne		"34.444867, 35.855239,1"	Households affected by the intercommunal violence earned an income from ICRC through Cash for Work projects allowing them to cover essential needs for a period of up to 06 months.
Unconditional Cash Grants	912	0	0	0	912		Economic Assistance	Cash Assistance	Cash Transfer Program	Bekaa			"34.165341, 36.263613,1"	Lebanese Returnees were able to cover their basic needs through an income support programme provided by the ICRC. This was achieved through monthly unconditional cash grants via ATM cards for a period of up to 06 months
Unconditional Cash Grants	0	1000	0	0	1000		Economic Assistance	Cash Assistance	Cash Transfer Program	Lebanon /Country wide			"33.851747, 35.814236,1"	Syrian refugees were able to cover their basic needs through an income support programme provided by the ICRC in close collaboration with LRC
Winter Assistance	3605	0	0	0	3605		Economic Assistance	Cash Assistance	Cash for Winter Needs	Bekaa			"34.082403, 36.314267,1"	Unconditional cash grants were transferred to the most vulnerable households allowing them to cover essential needs during the winter
Winter Assistance	0	1740	0	0	1740		Economic Assistance	Cash Assistance	Cash for Winter Needs	Bekaa			"33.998391, 36.122526,1"	Unconditional cash grants were transferred to the most vulnerable households allowing them to cover essential needs during the winter
Winter Assistance	0	596	7400	0	7996		Economic Assistance	Cash Assistance	Cash for Winter Needs	Lebanon /Country wide			"33.851747, 35.814236,1"	Unconditional cash grants in favour of severely vulnerable PRS and SR families across Lebanon allowing them to cover essential needs during the winter of 2015-2016
Emergency Distribution	6410	12666	2168	0	21244		Economic Assistance	Essential Household Items	HH items	Lebanon /Country wide			"33.851747, 35.814236,1"	Individuals including PRS PRL SR LR and IDP’s covered their basic needs in hygiene and essential household items through the emergency distribution of mattresses hygiene kits blankets kitchen sets diapers jerry cans plastic mats and tarpaulins
Aarsal field hospital 1	0	444	0	0	444		Health	Field hospital	Medical assistance	Bekaa		Aarsal	"34.1845624,36.4559143,1"	ICRC medical assistance to the Syrian field hospital in Arsal contributed to the management of patients including Weapon-Wounded surgical operations and the treatment of obstetric/gynecological cases
Aarsal field hospital 2	0	444	0	0	444		Health	Field hospital	Medical assistance	Bekaa		Aarsal	"34.1889464,36.4679073,1"	ICRC medical assistance to the Syrian field hospital in Arsal contributed to the management of patients including Weapon-Wounded surgical operations and the treatment of obstetric/gynecological cases
Food Assistance	6190	15667	1736	0	23593		Economic Assistance	Food Assistance	Food parcels	Lebanon /Country wide			"33.851747, 35.814236,1"	Individuals received food assistance including PRS and PRL SR LR and IDPs allowing them to cover their food needs for a month. This was achieved through the distribution of dry food parcels and canned food parcels. The programme was partially implemented with LRC. 
Kitchen Project in Tripoli	1252	0	0	0	1252		Economic Assistance	Food Assistance		North Lebanon	Tebenne		"34.446116, 35.855051,1"	Workers were employed in 02 kitchens that prepared daily hot meals for individuals during the winter months
Aarsal Medical Centre 3M Installation	0	10	0	0	10		Wathab	Infrastructures in ICRC supported or HCiD affected health facilities	Building rehabilitation & construction	Bekaa	baalbek	Aarsal Medical Center Hospital	"34.1803114,36.4178034,1"	ICRC supported the center with 3m rolls to be installed on 70 cubic meter of window
Ein el Helwe WatHab Support for Health Facilities 	0	0	5	0	5		Wathab	Infrastructures in ICRC supported or HCiD affected health facilities	Building rehabilitation & construction	South Lebanon	Saida	Ein el  Helwe Al Akssa Hospital	"33.5460565,35.3797433,1"	Given the frequency of clashes in the  in the palestinian camp of Ein el Hilwe and as part of its Heatlh Care in Danger program the ICRC WatHab unit undertakes the Installation of 3M protective film
Heating system Rehab Ablah Hospital	16	0	0	0	16		Wathab	Infrastructures in ICRC supported or HCiD affected health facilities	Building rehabilitation & construction	Bekaa	Zahle	Ablah LAF military Hospital	"33.8681111,35.9588534,1"	Rehabilitation of the heating system of the clinic and installation of additional heat exchangers
Provision of Heating System to Chebaa Clinic	0	1	0	0	1		Wathab	Infrastructures in ICRC supported or HCiD affected health facilities	Energy supply	South Lebanon	hasbaya	Chebaa Al Rhama Clinic 	"33.3486704,35.7520799,1"	Installation of biofuel heating system in Chebaa PHC
Zahraa Hospital Tripoli	0	20	0	0	20		Wathab	Infrastructures in ICRC supported or HCiD affected health facilities	Building rehabilitation & construction	North Lebanon			"34.4152088,35.8389823,1"	Construction and rehabilitation works in the ICRC supported hospital
SHRO PHC Bar Elias WatHab intervention in collabortion with health	0	50	0	0	50		Wathab	Infrastructures in PRP programs health facilities	Building rehabilitation & construction	Bekaa	Zahle	Bar Elias syrian relief SHRO	"33.7745472, 35.9023423,1"	As a support to Health department the Wathab assisted in some civil and sanitation works inside the SHRO clinic in Bar Elias were
Livelihood Project	805	0	240	0	1045		Economic Assistance	Livelihood Support		Bekaa	baalbek	Ras Baalbek	"34.260828, 36.416762,1"	LR PRS and PRL households have received productive inputs and training as part of a livestock project that generates income from the production and sale of derived products in addition to productive grants vocational training and job placement
Beddaoui camp intervention	0	0	6000	0	6000		Wathab	Municipal services	Sanitation & environmental health	North Lebanon	El Minieh-Dennie	Bedawi camp popular committee	"34.444184, 35.866843,1"	Rehabilitation of a water well and its control panel in sector A of Beddaoui camp
Chamsine Pumping Station	23400	6600	0	0	30000		Wathab	Municipal services	Safe drinking water supply	Bekaa	Zahle	Chamsine Chamsine station	"33.7417632,35.9561248,1"	Improvement of power supply for water infrastructure and construction of a water network
Construction of Reservoir in Maaser	1500	0	0	0	1500		Wathab	Municipal services	Safe drinking water supply	Bekaa	El Hermel	Maasser	"34.2693707,36.2800155,1"	Construction of a new reservoir
